Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;40,584.75;42,608.00;2,023.25;5,148.25
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;39,221.25;41,745.25;2,524.00;4,212.00
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;38,238.50;41,290.00;3,051.50;3,303.50
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;37,508.50;40,601.50;3,093.00;3,623.00
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;37,134.75;40,415.00;3,280.25;3,554.25
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;37,437.25;40,898.75;3,461.50;3,546.25
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;37,117.25;40,775.50;3,658.25;3,575.50
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;37,722.50;40,563.50;2,841.00;3,971.00
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;38,390.75;41,164.50;2,773.75;3,579.00
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;40,365.25;44,055.50;3,690.25;3,289.75
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;42,739.50;46,550.00;3,810.50;2,423.75
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;45,281.25;48,684.00;3,402.75;3,109.00
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;46,291.00;49,222.00;2,931.00;4,632.00
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;45,714.50;48,495.50;2,781.00;6,128.50
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;45,359.25;46,458.25;1,099.00;9,186.75
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;45,405.75;45,909.25;503.50;12,600.75
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;47,343.25;47,469.25;126.00;15,528.75
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;50,613.75;50,625.25;11.50;18,056.50
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;50,701.75;50,710.75;9.00;19,071.25
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;49,611.00;49,649.00;38.00;18,506.00
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;47,544.50;47,634.75;90.25;17,277.00
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;45,601.75;45,774.25;172.50;16,430.25
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;44,113.75;44,970.75;857.00;16,439.00
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;41,485.00;43,186.75;1,701.75;15,728.25
