Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2022 12:00 AM;Jan 1, 2022 1:00 AM;4,268.25;1,473.00;5,975.50;25,602.75;2.00;157.00;3,304.75;3,562.00;2,039.25;3,498.50;416.50;1,467.25
Jan 1, 2022 1:00 AM;Jan 1, 2022 2:00 AM;4,256.00;1,525.00;5,775.25;24,347.75;2.00;158.00;3,348.00;3,546.75;2,049.75;3,414.25;414.75;1,465.00
Jan 1, 2022 2:00 AM;Jan 1, 2022 3:00 AM;4,258.00;1,475.00;5,548.00;23,188.75;2.00;159.00;3,344.25;3,495.00;2,033.25;3,408.75;379.75;1,457.25
Jan 1, 2022 3:00 AM;Jan 1, 2022 4:00 AM;4,263.00;1,459.75;5,382.75;22,113.50;2.00;159.50;3,342.50;3,504.75;2,023.75;3,414.00;321.25;1,453.75
Jan 1, 2022 4:00 AM;Jan 1, 2022 5:00 AM;4,267.25;1,505.00;5,586.50;20,620.75;2.00;158.50;3,342.50;3,537.50;2,013.25;3,428.75;244.25;1,447.50
Jan 1, 2022 5:00 AM;Jan 1, 2022 6:00 AM;4,280.25;1,485.50;4,531.25;19,587.75;2.00;158.50;3,347.25;3,767.00;2,014.00;3,421.25;212.75;1,453.75
Jan 1, 2022 6:00 AM;Jan 1, 2022 7:00 AM;4,329.00;1,446.50;4,514.75;19,292.75;2.00;158.00;3,343.25;3,876.25;2,031.25;3,447.75;167.00;1,456.50
Jan 1, 2022 7:00 AM;Jan 1, 2022 8:00 AM;4,403.25;1,448.00;4,850.00;18,058.50;2.00;158.00;3,329.25;3,869.50;2,361.50;3,471.75;275.25;1,465.25
Jan 1, 2022 8:00 AM;Jan 1, 2022 9:00 AM;4,523.75;1,471.75;4,172.00;16,698.50;224.50;158.75;3,343.50;3,981.75;2,448.75;3,605.50;183.25;1,463.00
Jan 1, 2022 9:00 AM;Jan 1, 2022 10:00 AM;4,565.75;1,470.00;4,214.00;15,722.25;1,808.25;158.25;3,330.75;4,209.50;2,461.50;3,526.50;141.00;1,456.50
Jan 1, 2022 10:00 AM;Jan 1, 2022 11:00 AM;4,574.00;1,475.25;4,051.00;14,030.50;4,126.75;152.50;3,339.25;4,374.25;2,444.00;3,649.25;206.00;1,454.25
